date,id,opponentRanking,result,opponent
2016-04-08,8236047,909,-1,OddUkulele
2016-04-08,8234448,765,1,SpiritualMustard
2016-04-02,8194095,846,-1,KingAndCardinals
2016-04-02,8193084,830,1,gokulrocke
2016-04-02,8192958,572,1,SpottedMustard
2016-04-02,8192887,974,-1,Guest1699487
2016-04-02,8192880,777,1,Bellugabear
2016-04-02,8192825,1053,-1,Little_RookMonster
2016-04-01,8192660,727,1,StaleDirt
2016-04-01,8188779,693,1,FunnyAirport
2016-04-01,8188623,1124,-1,Forcey-SamV
2016-04-01,8188283,672,1,BumpyRobin
2016-04-01,8188020,595,1,MintLoaf
2016-04-01,8187889,1138,-1,LegalCat
2016-04-01,8186530,785,1,XxAnimatedWizardxX
2016-04-01,8186486,586,1,CommonApe
2016-04-01,8186372,963,-1,antonplayzchess
2016-04-01,8186361,604,1,MiniMarSeanLynch
2016-04-01,8185873,940,-1,WiseAmazon
2016-04-01,8185869,863,-1,JoyfulPlain
2016-04-01,8185740,565,1,SecretDivision
2016-04-01,8185700,965,-1,raketa2009
2016-04-16,8292401,883,-1,ObeseFire
2016-04-16,8291430,1156,-1,NoiselessClub
2016-04-16,8291366,808,1,NoisyCap
2016-04-16,8291361,779,1,MovingCover
2016-04-16,8290515,721,-1,OnerousRhino
2016-04-16,8290076,952,-1,skullpirate
2016-04-16,8289971,1206,-1,SecondSoap
2016-04-16,8289861,1281,-1,BrilliantSoccer
2016-04-16,8289818,774,1,elie
2016-04-16,8289813,592,1,ColorfulAgave
2016-04-15,8288764,654,1,kerem_erkes
2016-04-15,8288717,1186,-1,wdaly
2016-04-15,8282081,1367,-1,olympiakosclub
2016-04-15,8282055,862,-1,aleksaaka
2016-04-15,8282054,511,1,SavoryCricket
2016-04-14,8277446,786,1,GeorgeP
2016-04-14,8276872,1099,0,Stihlcurtis
2016-04-14,8276489,1078,-1,NoiselessClub
2016-04-14,8276411,598,1,AmazingPopcorn
2016-04-14,8276378,709,1,UltraTortoise
2016-04-24,8342865,823,-1,UpsetPlane
2016-04-24,8342811,1067,-1,AthleticPuppet
2016-04-23,8342810,771,1,hamza110
2016-04-23,8339303,1113,-1,CoachG
2016-04-23,8339272,569,1,Locktheking
2016-04-23,8339246,619,1,GoldenYawn
2016-04-22,8331656,1038,1,SundayMorning
2016-04-22,8331653,649,1,HandsomeHalf
2016-04-22,8331631,556,1,AdhesiveJail
2016-04-22,8330465,645,1,mikehipson
2016-04-20,8315625,515,1,DrCyber
2016-04-20,8315623,664,1,blackblackhole
2016-04-20,8315617,860,-1,BeeBuzzer
2016-04-20,8315587,807,-1,ClearSoda
2016-04-20,8315578,680,-1,kunjimanu
2016-04-18,8303683,868,1,Daniel002
2016-04-21,8323761,505,1,Dragonsmith
2016-04-21,8323623,542,1,SlowHeart
2016-04-21,8323167,659,-1,T-RexTheSpider
2016-04-21,8323166,647,1,T-RexTheSpider
2016-04-21,8323079,833,1,AdorablePebble
2016-04-21,8323067,425,1,Pm002
2016-04-21,8323016,640,1,HonestSprout
2016-04-21,8322822,1049,-1,kiwimastr
2016-04-21,8322816,468,1,GainfulDolphin
2016-04-20,8318531,712,-1,FranKarlovic
